iter	Passed	Remaining
0	233	232784
1	235	117506
2	238	79247
3	246	61346
4	253	50508
5	256	42545
6	263	37395
7	308	38261
8	317	34932
9	317	31481
10	319	28748
11	326	26864
12	333	25296
13	339	23941
14	346	22777
15	354	21774
16	361	20891
17	369	20178
18	377	19503
19	379	18587
20	382	17812
21	389	17316
22	397	16875
23	405	16481
24	412	16074
25	414	15539
26	421	15180
27	428	14882
28	435	14591
29	437	14152
30	444	13902
31	451	13659
32	458	13425
33	465	13226
34	472	13032
35	479	12848
36	481	12532
37	484	12267
38	491	12108
39	498	11958
40	502	11745
41	509	11610
42	516	11487
43	522	11356
44	526	11179
45	533	11066
46	534	10839
47	538	10678
48	545	10586
49	549	10438
50	556	10358
51	557	10164
52	564	10088
53	571	10010
54	579	9948
55	585	9876
56	593	9824
57	600	9753
58	604	9637
59	612	9592
60	619	9528
61	626	9482
62	633	9419
63	640	9370
64	647	9313
65	654	9259
66	658	9167
67	665	9120
68	672	9077
69	679	9023
70	685	8972
71	692	8924
72	712	9043
73	740	9263
74	742	9151
75	748	9099
76	756	9063
77	762	9015
78	769	8975
79	776	8928
80	783	8884
81	790	8845
82	796	8802
83	803	8763
84	810	8722
85	816	8679
86	824	8649
87	830	8611
88	833	8532
89	840	8497
90	844	8433
91	845	8341
92	846	8254
93	854	8232
94	860	8200
95	867	8171
96	874	8136
97	880	8104
98	888	8090
99	895	8060
100	903	8039
101	904	7960
102	910	7931
103	912	7861
104	920	7846
105	926	7817
106	934	7795
107	940	7770
108	947	7748
109	955	7727
110	961	7702
111	968	7680
112	975	7659
113	982	7638
114	985	7583
115	987	7522
116	993	7498
117	1000	7477
118	1007	7455
119	1013	7435
120	1020	7413
121	1027	7392
122	1035	7382
123	1042	7362
124	1046	7324
125	1052	7302
126	1058	7279
127	1066	7262
128	1072	7244
129	1079	7227
130	1086	7207
131	1093	7192
132	1100	7172
133	1106	7151
134	1114	7139
135	1120	7118
136	1122	7069
137	1123	7020
138	1131	7009
139	1138	6994
140	1145	6977
141	1152	6961
142	1158	6945
143	1165	6930
144	1172	6913
145	1179	6901
146	1186	6883
147	1194	6874
148	1200	6857
149	1207	6841
150	1213	6824
151	1220	6808
152	1224	6779
153	1231	6763
154	1237	6747
155	1245	6738
156	1252	6722
157	1259	6711
158	1261	6674
159	1268	6659
160	1276	6650
161	1282	6635
162	1289	6622
163	1296	6609
164	1303	6593
165	1310	6586
166	1317	6571
167	1325	6562
168	1332	6554
169	1342	6554
170	1372	6652
171	1379	6639
172	1386	6626
173	1393	6613
174	1399	6597
175	1406	6586
176	1413	6570
177	1420	6560
178	1428	6551
179	1435	6537
180	1438	6509
181	1447	6506
182	1455	6500
183	1463	6488
184	1471	6482
185	1477	6467
186	1484	6455
187	1491	6443
188	1495	6418
189	1499	6392
190	1500	6357
191	1504	6332
192	1511	6319
193	1519	6311
194	1526	6299
195	1532	6287
196	1539	6276
197	1546	6263
198	1554	6255
199	1560	6243
200	1568	6233
201	1575	6224
202	1577	6192
203	1584	6180
204	1591	6172
205	1600	6170
206	1609	6164
207	1618	6163
208	1620	6132
209	1627	6122
210	1628	6089
211	1636	6084
212	1644	6075
213	1651	6067
214	1658	6056
215	1667	6052
216	1674	6042
217	1675	6010
218	1685	6010
219	1691	5998
220	1700	5993
221	1707	5982
222	1715	5978
223	1722	5967
224	1733	5970
225	1740	5961
226	1748	5954
227	1756	5948
228	1764	5939
229	1771	5929
230	1779	5922
231	1785	5911
232	1792	5901
233	1800	5894
234	1807	5883
235	1815	5877
236	1822	5866
237	1829	5857
238	1830	5828
239	1837	5818
240	1844	5809
241	1851	5799
242	1859	5791
243	1866	5782
244	1872	5770
245	1879	5760
246	1886	5751
247	1893	5741
248	1900	5730
249	1906	5720
250	1914	5713
251	1921	5702
252	1929	5697
253	1936	5686
254	1943	5678
255	1950	5667
256	1956	5657
257	1963	5647
258	1970	5637
259	1978	5630
260	1984	5618
261	1991	5610
262	1998	5600
263	2005	5590
264	2012	5582
265	2018	5571
266	2026	5562
267	2032	5551
268	2039	5542
269	2046	5532
270	2053	5522
271	2060	5515
272	2067	5505
273	2074	5495
274	2080	5486
275	2088	5477
276	2094	5467
277	2102	5460
278	2109	5450
279	2115	5440
280	2123	5432
281	2129	5421
282	2137	5416
283	2144	5405
284	2151	5396
285	2158	5388
286	2164	5378
287	2171	5369
288	2178	5359
289	2185	5351
290	2192	5341
291	2199	5332
292	2206	5323
293	2212	5312
294	2219	5304
295	2226	5295
296	2233	5287
297	2240	5277
298	2246	5267
299	2254	5259
300	2260	5250
301	2268	5242
302	2275	5233
303	2281	5224
304	2288	5214
305	2294	5204
306	2302	5198
307	2309	5188
308	2316	5181
309	2323	5172
310	2331	5166
311	2338	5157
312	2345	5147
313	2351	5138
314	2358	5128
315	2365	5119
316	2371	5109
317	2378	5100
318	2385	5093
319	2392	5083
320	2400	5077
321	2406	5067
322	2414	5060
323	2421	5051
324	2428	5043
325	2434	5034
326	2441	5024
327	2449	5018
